商品id,商品名称,商品主图,商品详情页链接地址,店铺名称,商品价格(单位：元),商品月销量,收入比率(%),佣金,卖家旺旺,淘宝客短链接(300天内有效),淘宝客链接,淘口令(30天内有效),优惠券总量,优惠券剩余量,优惠券面额,优惠券开始时间,优惠券结束时间,优惠券链接,优惠券淘口令(30天内有效),优惠券短链接(300天内有效),是否为营销计划商品,成团人数,成团价,成团佣金,拼团开始时间,拼团结束时间
610697227222,洛丽塔公主裙正版全套lolita裙子原创洛莉塔装学生日常可爱洋装,https://img.alicdn.com/i4/33894787/O1CN01Y6rZPL1lEUXw4gj0j_!!33894787.jpg,http://item.taobao.com/item.htm?id=610697227222,魔塔大陆,269,17,4.5,11.21,西风的话3219,https://s.click.taobao.com/eLulghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DQMNEab30SOdw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC2i9OPrc0XZQ%2BmeO2RiYrdq%2FVSpkt13RzTmEMK4TxNIs&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b5ba_4dd9%4001,￥zp3C1JOU14K￥,1111,1070,20.0,2020-05-09 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=u9EA%2FxExnP4NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKqOZbLpSdiYOTX%2F3rjIuTPzbAjMjQ0gcxJKTHQYKz89LtHdDu1dSGb65OH1WfUm97Qcrrh2q7i%2FX465JjauAzyrwGSVh%2BekNmXsZNwXFgDG0KAyzOK%2B4%2F8jr1J2PdDxy3TW%2FoVcZ9tx2uhcEU%2FqjP4&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b5ba_4dd9%4001,￥7gm71JOUekz￥,https://s.click.taobao.com/Jvzlghv,否,,,,,
604329732410,蝶尚秋新品洛丽塔lolita圆头叙旧蝴蝶结学生小皮鞋牛筋平底学院风,https://img.alicdn.com/i2/705917713/O1CN01u0ZoWR26qbS6QHXQo_!!705917713.jpg,http://item.taobao.com/item.htm?id=604329732410,蝶尚秋原创森系手工定制,148,10,2.58,3.04,心动梦随,https://s.click.taobao.com/dqtlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DTLUtIV7djBxw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC55fnbrTRrVFJygjpB98ffSkHMcN9IWq6wm3rGYyqbgbcSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b61d_4ddb%4001,￥QXjW1JOf0dT￥,5000,4986,30.0,2020-05-12 00:00:00,2020-07-11 23:59:59,https://uland.taobao.com/coupon/edetail?e=u3ttrEsAH68NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLioHbNe60yQ2S6QssZNz%2FvLfUB3AZ64140tCF%2BPIcUzLhtWWjRAlP0awvDoeqYhH2lT%2Bjoplu88ZdPM7ifRpXLDfqEFBOhTcy7%2FV%2BkFynd4lD2STGKf3MJvn17DJS%2B%2FCKi5QrILiXIZHt5XKRL3Y19&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b61d_4ddb%4001,￥cA8Q1JOU0XD￥,https://s.click.taobao.com/3Zslghv,是,,,,,
611852579283,原创正品马卡龙兔兔OP连衣裙洛丽塔格子款过新年Lolita日常大摆裙,https://img.alicdn.com/i4/2206682180172/O1CN01Xmg7RY1D8ohr5iocu_!!2206682180172.jpg,http://item.taobao.com/item.htm?id=611852579283,Himesama Holiday原创设计,388,1,1.35,4.97,himesamaholiday姬様休憩,https://s.click.taobao.com/iS1mghv,https://s.click.taobao.com/t?e=m%3D2%26s%3Dtb0th6Wstwdw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nECwTm0BH7FR8Onz3ELYQWgoeb1i1LkrRrDtnAqivXClfIIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b648_4df0%4001,￥Ncoo1JOfJX4￥,2000,1989,20.0,2020-05-23 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=4J4ohZy82%2B0NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJQ%2B4ojpj7jFDNFH%2BRn2VZNCCLhZmWryjwdXbddaFpx16wbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYajwmxD5Q1FpNBjG0GAa9hytUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b648_4df0%4001,￥9X1C1JOfeOb￥,https://s.click.taobao.com/2Zslghv,否,,,,,
618221234407,洛丽塔裙原创 洛芙德op 优雅印花罩纱气质可爱lolita公主裙连衣裙,https://img.alicdn.com/i4/2206515785998/O1CN01L63z9m1uB8CckYidM_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=618221234407,映茜旗舰店,199,3,6,8.34,映茜旗舰店,https://s.click.taobao.com/UKtlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DbI0PLEgHS%2Ftw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nECzS2P6cfD62LvGuWEPC7j6Jcfm37xb4PJeyaUFxh8fmupMZxtYHy2%2BOiZ%2BQMlGz6FQ%3D%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b677_4df1%4001,￥hXcj1JOUYeh￥,10000,9991,60.0,2020-05-22 00:00:00,2020-05-29 23:59:59,https://uland.taobao.com/coupon/edetail?e=ngFHs63RwjANfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLNQvmPulFRvqE7RhZzZiI5gyapBMIfMx%2FWcSVHhJ%2FGhemFKyIN1bVX65OH1WfUm95Uf2TiFOebe7%2FltfGD9JWwgoyDVriowkKtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJFVW6yqqeGJ%2FI%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b677_4df1%4001,￥23HK1JOU4bO￥,https://s.click.taobao.com/yD2mghv,是,,,,,
609022006013,桃乐丝之夜Lolita裙原创紫罗繁花CLA洛丽塔JSK连衣裙 现货,https://img.alicdn.com/i4/1808251735/O1CN01njTbcl1OgfkZEdLMX_!!1808251735.jpg,http://item.taobao.com/item.htm?id=609022006013,桃乐丝之夜DorisNightLolita洋装馆,368,2,4.5,14.31,verredejardin,https://s.click.taobao.com/mBzlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DpiXJgXyuvEFw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC5J55JeTbCYivxb2Ga8ih5d2Mcz8RAEbpg3eTJhWPFtkxgxdTc00KD8%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b697_4df2%4001,￥Biji1JOfmgl￥,9999,9424,50.0,2020-05-01 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=po4Z85EnsBkNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJFVWGNapYSt%2BKVSzjSaCZXXPujBoig1AI%2FZStw2JAdeMuRTiT9oEhVZV8pr6FWc0MPU64n7qPzDY0%2BjFP8G1vGmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b697_4df2%4001,￥ZvUL1JOfOfp￥,https://s.click.taobao.com/XJslghv,是,,,,,
579580521085,【售完下架】原创洛丽塔 秋之信笺JSK印花连衣裙lolita公主裙,https://img.alicdn.com/i1/3943659105/O1CN01bYiIYI2H88f5jFano_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=579580521085,樱洛芙旗舰店,360,0,1.5,5.10,樱洛芙旗舰店,https://s.click.taobao.com/matlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DhdYpRoyLL9tw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC3QRNbYxOB9wp2%2F8dtt6CbflDIOI%2B0KuxCJwXMsBkqb%2FomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b6bb_4df3%4001,￥YIYB1JOUfoX￥,10000,9737,20.0,2020-05-21 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=FCVVKTBI%2FD8NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKgKZ46YYtvz0UayPqab9ZeYcyBzgKn7Y3yvrhSdb8JYmuFqp8TFaHMNg4Gqf8CT4D71IBOkM8zjYgUulcKoxMumMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2Bof41o1IfXjc7onv6QcvcARY%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b6bb_4df3%4001,￥A7cs1JOfhwT￥,https://s.click.taobao.com/wD2mghv,否,,,,,
613697788430,法式田园森系洛丽塔长裙复古荷叶边蕾丝超仙女桔梗连衣裙女2020夏,https://img.alicdn.com/i1/2643131204/O1CN01BOF1fF1KlTSBLfnAC_!!2643131204.jpg,http://item.taobao.com/item.htm?id=613697788430,子末青合 轻复古文艺女装,198,1,3,5.34,素简棉麻,https://s.click.taobao.com/kdwlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3D7O5nCxoe2Sxw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC3cLQdT7G5gdDTqyoRshdtmNSGpDdil3d13itOqbBrWAomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b6e8_4df4%4001,￥TSSI1JO4A0W￥,20000,20000,20.0,2020-05-24 00:00:00,2020-06-30 23:59:59,https://uland.taobao.com/coupon/edetail?e=ij%2B28m3A6zwNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLkyzFO%2BXADYWOxBZUYBBgWZymdEkBDygfN3EW%2FSU0b7muFqp8TFaHMNg4Gqf8CT4Dau51S08QSooRBi%2FasgbXWmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b6e8_4df4%4001,￥mFqS1JOf7KC￥,https://s.click.taobao.com/gAylghv,否,,,,,
616236529140,短袖暗黑哥特式古典宫廷风塔罗裙洋气洛丽塔女仆日系少女闺蜜装,https://img.alicdn.com/i2/175754641/TB1PpQbCxD1gK0jSZFsq6zldVXa?_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=616236529140,万达优品1号店,353.7,0,18,58.27,万达优品1号店,https://s.click.taobao.com/gR0mghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DgLjAhSfopkRw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC%2FO9v9KwJXK1yBvMRHJFYG%2FuprwveTw8mVy%2FPHIRafVwIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b706_4df8%4001,￥2tSq1JOffXN￥,9999,9992,30.0,2020-05-05 00:00:00,2020-07-04 23:59:59,https://uland.taobao.com/coupon/edetail?e=RCDUlXn8ca0NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLLUioHdJg6U2slgrZMW044msDjWlG5WqQOAPaeMSx286wbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYbtNv9G2vRfxOYTR1dwD7tytUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b706_4df8%4001,￥cMtT1JOf4h3￥,https://s.click.taobao.com/6hylghv,否,,,,,
614490289705,原创设计Lolita日常洋装繁花章华正版连衣裙萝莉塔甜美轻lo裙子,https://img.alicdn.com/i1/2965722869/O1CN01IBOqxW1X42u6cKqJ2_!!2965722869.jpg,http://item.taobao.com/item.htm?id=614490289705,漫喵工作室,299,0,1.8,5.02,猎户座的星辰,https://s.click.taobao.com/Ccvlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DaTzTH7MSIURw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC4%2FPFbbpxmZg6S6a9pnXbdGW0Cz5S781M5fsABz0%2BGYbomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b73a_4df9%4001,￥wvg31JOfgs6￥,1000,944,20.0,2020-05-02 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=yidBDNzeIM8NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJYRhJU5obDg0I%2FK3sFpjbxmdVG%2F%2BXy%2BOalORnImMS43WuFqp8TFaHMNg4Gqf8CT4DnT%2B%2FZSDwep%2BbSnUi0CR0RmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b73a_4df9%4001,￥Qb0f1JOUXFs￥,https://s.click.taobao.com/1Zslghv,否,,,,,
614001333805,罗丽塔洋装洛丽塔超仙春夏公主裙春秋款演出服气质洋气软妹礼服,https://img.alicdn.com/i2/175754641/TB1Ad5nxYj1gK0jSZFuq6ArHpXa?_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=614001333805,万达优品海外,258.61,0,18,42.05,万达广场折扣1号店,https://s.click.taobao.com/NOwlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3D8%2FQRncP4kKlw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC3%2B%2BvQ%2BE5CIvcjlJe26Qed3jgjNKQwZMGafntew7El%2BLIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b768_4dfa%4001,￥sZ2H1JOfd8H￥,10000,9867,25.0,2020-04-09 00:00:00,2020-06-08 23:59:59,https://uland.taobao.com/coupon/edetail?e=4fcFRsvRcTwNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKZy4Po2MYueIehWjnU3Cvd7gzrSlCrnkFNCfBScJB3YqwbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYdx3wTUDTlcjqXT8BNPyRO2tUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b768_4dfa%4001,￥F3UC1JOfCpZ￥,https://s.click.taobao.com/2Irlghv,否,,,,,
579133582232,桃乐丝之夜洛丽塔日常装原创和风Lolita裙子烫金金色稻荷JSK三型,https://img.alicdn.com/i2/1808251735/TB2iEv9HkKWBuNjy1zjXXcOypXa_!!1808251735.jpg,http://item.taobao.com/item.htm?id=579133582232,桃乐丝之夜DorisNightLolita洋装馆,428,0,1.5,5.67,verredejardin,https://s.click.taobao.com/z4tlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DBLDmo5p%2BmFpw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC5J55JeTbCYixijRmu2Mrvb6%2FdpLdBWMi8enmLI%2FGTYiomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b7a2_4dfb%4001,￥3Qup1JOfFqh￥,9999,9424,50.0,2020-05-01 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=0SmTpUiwKcoNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIy7I3JRL1Nb9zMzQlKh0yxXPujBoig1AI%2FZStw2JAdeGuFqp8TFaHMNg4Gqf8CT4AHlkZsNEfWJQR6ZDoa%2BcUimMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340138%400b0833a6_0f11_17247a8b7a2_4dfb%4001,￥fVi21JOUaF2￥,https://s.click.taobao.com/hdwlghv,否,,,,,
617014784433,日系软妹学院风甜美水手服海军领学生lolita洛丽塔少女萝莉连衣裙,https://img.alicdn.com/O1CN01OGjW0j2HojbvArtgE_!!2206901739198.jpg,http://item.taobao.com/item.htm?id=617014784433,跑地猪的潮流鞋店1号店,106.6,0,4.5,3.90,猪猪潮流精品店1号,https://s.click.taobao.com/SKtlghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DSKCbh3%2BK2Ypw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0L9eAJbfIZiWrl0NiRgnc5PtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC24ZLPDbb1oktcnLzUiCI3AcrElF8ksPaptT3HEdpQFdIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590340139%400b0833a6_0f11_17247a8b7fc_4e0e%4001,￥HWua1JOfs4u￥,11111,11111,20.0,2020-04-28 00:00:00,2020-06-27 23:59:59,https://uland.taobao.com/coupon/edetail?e=ozPCSl9P8UUNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoI%2BK6gLno80AzpWn9kvTr44r7UCkQeJbGVBYWzaQM8sM6wbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYdRAkuAiET6xIp3JPubfcwqtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.8.51.166_553_1590340138378&ptl=floorId:31507;app_pvid:59590_11.8.51.166_553_1590340138378;tpp_pvid:&union_lens=lensId%3AOPT%401590340139%400b0833a6_0f11_17247a8b7fc_4e0e%4001,￥3r5v1JOUVZ5￥,https://s.click.taobao.com/68vlghv,否,,,,,
